dan_1-del_1,dan_1-del_2,dan_1-del_3,dan_1-del_4,dan_1-del_5,dan_1-del_6,dan_1-del_7,dan_1-del_8,dan_1-del_9,dan_1-del_10,dan_2-del_1,dan_2-del_2,dan_2-del_3,dan_2-del_4,dan_2-del_5,dan_2-del_6,dan_2-del_7,dan_2-del_8,dan_2-del_9,dan_2-del_10,dan_3-del_1,dan_3-del_2,dan_3-del_3,dan_3-del_4,dan_3-del_5,dan_3-del_6,dan_3-del_7,dan_3-del_8,dan_3-del_9,dan_3-del_10,dan_4-del_1,dan_4-del_2,dan_4-del_3,dan_4-del_4,dan_4-del_5,dan_4-del_6,dan_4-del_7,dan_4-del_8,dan_4-del_9,dan_4-del_10,
Bor Martinjak_5,Manca Potočnik_8,,,,,Žan Dražetič_2,,,Monik Grom_6,Živa Rupar_5,Val Korenčič_1,,,,Ana Štefančič_1,Vid Markun_5,Zala Šardii_1,,,Nejc Potočnik_6,,,,,,Leja Mravlja_8,Monik Grom_6,,Ajda Mihovec_1,,Patricija Ravnikar_4,,Jerca Trilar_2,,Živa Zupančič_2,Nace Ravnikar_7,Ana Eržen_2,Val Korenčič_1,,
Laura Sušnik Selak_7,Lucija Šifrer_4,,,,,Jošt Selak_4,,,Urban Kalan_4,Klavdija Ravnikar_6,Lan Korenčič_8,,,,,Filip Selak_2,Nika Šardi_4,,,Sara Potočnik_2,,,,,,Ana Eržen_2,Enej Štefelin_3,,Lucija Šifrer_4,,Miha Triler_3,,Vesna Potočnik_6,,,Eva Markun_8,Tjaš Cegnar_5,Lan Korenčič_8,,
Zea Juhant_3,Eva Vončina_6,,,,,,,,Sara Štefelin_6,Leja Mravlja_8,Žana Žontar_3,,,,,,Urban Poretna_3,,,Nika Potočnik_8,,,,,,Luka Eržen_5,Eva Jamnik_6,,Nace Ravnikar_7,,Leja Vončina_3,,Lucija Šifrer_4,,,,,Eva Vončina_6,,
Teja Jezeršek_6,,,,,,,,,Enej Štefelin_3,Martin Kolenko_6,Vesna Potočnik_6,,,,,,Bor Martinjak_5,,,Eva Franko_8,,,,,,,Živa Rupar_5,,Eva Vončina_6,,,,Karmen Logonder_4,,,,,Ema Jugovic_9,,
Zala Kajba_5,,,,,,,,,Eva Jamnik_6,Gašper Bogataj_6,Jaka Logonder_5,,,,,,Martin Jocif_9,,,Anže Mravlja_8,,,,,,,Zala Križnar_5,,,,,,Ajda Jugovic_6,,,,,,,
Nika Kermelj_5,,,,,,,,,Živa Rupar_5,Živa Zupančič_2,Karmen Logonder_4,,,,,,Miha Triler_3,,,Miha Triler_3,,,,,,,Žana Žontar_3,,,,,,Filip Selak_2,,,,,,,
Martin Jocif_9,,,,,,,,,Patricija Ravnikar_4,Jošt Selak_4,,,,,,,Luka Eržen_5,,,,,,,,,,Vesna Potočnik_6,,,,,,Jošt Selak_4,,,,,,,
Zala Križnar_5,,,,,,,,,Nejc Potočnik_6,,,,,,,,Žan Dražetič_2,,,,,,,,,,Martin Kolenko_6,,,,,,,,,,,,,
Vesna Potočnik_6,,,,,,,,,Nika Potočnik_8,,,,,,,,Eva Vončina_6,,,,,,,,,,Vid Markun_5,,,,,,,,,,,,,
Ana Eržen_2,,,,,,,,,Eva Franko_8,,,,,,,,Eva Markun_8,,,,,,,,,,Filip Selak_2,,,,,,,,,,,,,
Luka Eržen_5,,,,,,,,,Anže Mravlja_8,,,,,,,,,,,,,,,,,,Jošt Selak_4,,,,,,,,,,,,,
Karmen Logonder_4,,,,,,,,,Leja Mravlja_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tjaš Cegnar_5,,,,,,,,,Martin Kolenko_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nace Ravnikar_7,,,,,,,,,Gašper Bogataj_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajda Jugovic_6,,,,,,,,,Peter Štefančič_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva Markun_8,,,,,,,,,Ana Štefančič_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Selak_2,,,,,,,,,Leja Vončina_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Živa Zupančič_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
